id,label,node,lat,lon,in,out
0,0,0,39.9263763427734,116.561508178711,1,0
1,1,1,39.9854278564453,116.323928833008,3,9
2,2,2,39.7327423095703,116.137161254883,0,1
3,3,3,40.0142669677734,116.54777526855499,0,1
4,4,4,40.0540924072266,116.458511352539,2,0
5,5,5,39.9634552001953,116.333541870117,3,12
6,6,6,39.8426055908203,116.234664916992,1,1
7,7,7,39.8384857177734,116.270370483398,0,2
8,8,8,39.8206329345703,116.667251586914,1,0
9,9,9,39.8535919189453,116.458511352539,0,1
10,10,10,40.0650787353516,116.654891967773,0,1
11,11,11,39.9579620361328,116.490097045898,4,5
12,12,12,39.8233795166016,116.453018188477,0,1
13,13,13,39.9662017822266,116.442031860352,5,2
14,14,14,39.8563385009766,116.244277954102,2,1
15,15,15,40.0568389892578,116.396713256836,1,0
16,16,16,39.7574615478516,116.29508972167999,1,0
17,17,17,39.8892974853516,116.42692565917999,5,5
18,18,18,39.6489715576172,116.41593933105499,0,1
19,19,19,39.8686981201172,116.63566589355499,1,0
20,20,20,40.0815582275391,116.244277954102,0,3
21,21,21,39.8027801513672,116.365127563477,0,1
22,22,22,39.9153900146484,116.381607055664,1,0
23,23,23,39.9483489990234,116.106948852539,0,1
24,24,24,40.0527191162109,116.347274780273,1,1
25,25,25,39.8879241943359,116.573867797852,2,0
26,26,26,39.8989105224609,116.255264282227,3,0
27,27,27,39.9648284912109,116.42692565917999,0,1
28,28,28,39.9222564697266,116.68098449707001,0,1
29,29,29,39.9662017822266,116.54914855957001,0,1
30,30,30,39.8686981201172,116.485977172852,13,16
31,31,31,39.8590850830078,116.23054504394501,2,0
32,32,32,39.7382354736328,116.57112121582001,1,0
33,33,33,39.7560882568359,116.35002136230499,2,0
34,34,34,39.9469757080078,116.49421691894501,1,0
35,35,35,39.8563385009766,116.535415649414,41,64
36,36,36,39.7615814208984,116.167373657227,0,2
37,37,37,39.8659515380859,116.420059204102,5,6
38,38,38,39.9208831787109,116.584854125977,13,7
39,39,39,39.9428558349609,116.299209594727,7,3
40,40,40,39.9263763427734,116.321182250977,9,9
41,41,41,39.8934173583984,116.377487182617,8,8
42,42,42,39.8165130615234,116.498336791992,8,5
43,43,43,39.8989105224609,116.24153137207001,9,11
44,44,44,39.8879241943359,116.38435363769501,19,13
45,45,45,39.9318695068359,116.25251770019501,5,5
46,46,46,39.8975372314453,116.48185729980499,3,3
47,47,47,39.8755645751953,116.76750183105499,1,1
48,48,48,39.9263763427734,116.212692260742,0,1
49,49,49,39.9263763427734,116.620559692383,1,2
50,50,50,39.8604583740234,116.366500854492,5,1
51,51,51,39.6956634521484,116.575241088867,1,0
52,52,52,39.6668243408203,116.352767944336,3,2
53,53,53,39.9868011474609,116.68098449707001,0,1
54,54,54,39.8329925537109,116.65901184082001,1,1
55,55,55,39.8110198974609,116.50520324707001,0,2
56,56,56,39.9071502685547,116.429672241211,4,0
57,57,57,40.0609588623047,116.16325378417999,1,1
58,58,58,39.8947906494141,116.457138061523,2,2
59,59,59,39.9277496337891,116.446151733398,8,7
60,60,60,39.9167633056641,116.479110717773,11,3
61,61,61,39.9607086181641,116.347274780273,15,16
62,62,62,39.7959136962891,116.490097045898,4,6
63,63,63,39.7299957275391,116.336288452148,5,1
64,64,64,39.8069000244141,116.369247436523,10,5
65,65,65,39.8069000244141,116.193466186523,3,2
66,66,66,39.9936676025391,116.424179077148,15,27
67,67,67,39.7959136962891,116.314315795898,3,7
68,68,68,40.1433563232422,116.297836303711,0,3
69,69,69,40.0334930419922,116.275863647461,6,12
70,70,70,39.9510955810547,116.13166809082001,3,2
71,71,71,40.0334930419922,116.363754272461,3,2
72,72,72,39.8632049560547,116.39533996582001,7,1
73,73,73,39.8302459716797,116.47224426269501,2,2
74,74,74,39.7863006591797,116.16462707519501,2,0
75,75,75,39.8123931884766,116.411819458008,3,0
76,76,76,39.8453521728516,116.422805786133,3,4
77,77,77,39.7657012939453,116.387100219727,0,2
78,78,78,39.8316192626953,116.584854125977,1,0
79,79,79,39.7574615478516,116.159133911133,0,1
80,80,80,40.1694488525391,116.301956176758,0,1
81,81,81,39.8412322998047,116.370620727539,11,4
82,82,82,39.9950408935547,116.612319946289,1,1
83,83,83,40.1172637939453,116.413192749023,4,0
84,84,84,40.0087738037109,116.487350463867,0,2
85,85,85,40.0843048095703,116.138534545898,0,2
86,86,86,39.9868011474609,116.682357788086,4,0
87,87,87,39.9758148193359,116.539535522461,0,2
88,88,88,39.9318695068359,116.407699584961,0,1
89,89,89,39.9689483642578,116.323928833008,9,4
90,90,90,39.7492218017578,116.543655395508,1,1
91,91,91,39.8151397705078,116.565628051758,1,3
92,92,92,39.7972869873047,116.509323120117,5,10
93,93,93,39.8961639404297,116.355514526367,20,7
94,94,94,39.8522186279297,116.399459838867,26,33
95,95,95,39.9291229248047,116.454391479492,2,6
96,96,96,39.9071502685547,116.212692260742,78,181
