start,end,weight
3584,3493,2
14746,14744,2
2774,2781,7
15659,15948,5
14771,15119,7
8782,8427,6
3607,3396,2
16434,16933,1
8490,7895,1
17182,17335,3
13869,13477,2
12410,12412,1
7092,7747,2
4749,4471,2
14943,14728,4
10855,10758,1
7743,7414,4
12997,12996,1
13216,13629,7
12755,13436,2
6628,6544,5
16417,16422,2
13650,13236,1
11944,12486,3
8387,8740,1
5283,5283,2
13238,13238,5
16458,16455,3
7625,7433,6
13449,13203,7
12782,13633,1
4153,4017,1
13987,13450,1
20949,21150,1
5650,5369,11
16587,16448,1
2565,2491,1
7052,7241,2
7557,7362,3
14739,14589,1
15081,15647,3
12432,12431,1
18370,18151,3
17640,17809,1
8391,8071,8
8367,8515,1
13493,13246,2
8646,8117,1
14773,15122,7
14011,13628,6
8616,8758,2
3096,3099,1
7600,7405,1
9525,9184,2
2109,1784,1
5789,5902,1
12183,11965,1
13128,12698,1
7097,7419,3
8951,8609,2
10000,10414,1
15411,15413,2
5771,5711,2
10026,9773,2
13128,13780,1
8283,8092,1
11719,12300,1
5098,4795,5
16468,16225,4
16826,16659,2
7776,7635,1
16466,16122,1
6046,6144,10
9434,9433,2
7943,7737,2
12781,12779,10
19353,19288,1
8983,10084,1
10570,10569,2
8953,8752,2
13955,13576,5
11356,10659,1
18763,18590,1
8427,8427,2
14986,15122,1
15428,15127,1
13995,13839,1
11909,11905,7
12353,12746,13
8427,8426,2
15995,15873,3
5319,5602,3
10493,10271,1
11491,11300,2
10608,10429,2
9474,10084,3
15007,15203,1
14368,15395,3
16074,16321,4
7056,7055,5
14240,14769,2
8268,8397,1
12810,13244,2
4711,4815,1
15875,15708,1
21288,21213,5
8774,8631,4
14220,13991,1
7715,7715,2
11600,11404,7
10168,12141,1
11500,10600,5
7079,7265,1
20154,19914,2
7100,6973,1
10482,9817,1
10939,10682,4
1784,1713,1
10623,10205,1
15581,15177,1
13044,12403,1
12747,12994,2
8087,8273,2
7092,6650,1
20291,20164,1
13117,12936,19
11599,12242,3
18394,18305,3
16826,16568,1
14752,15100,4
9124,9128,2
16952,16950,4
7601,7742,1
16821,17644,1
16474,16241,1
16864,16696,1
17955,17806,5
13467,13465,2
10640,10223,2
11599,11250,8
4869,4869,1
12015,11830,2
12807,12805,6
15996,15877,6
6768,6768,1
10000,11050,1
8079,8080,5
10906,10651,6
11481,11481,4
6767,7085,6
2986,3593,9
14006,13207,1
9125,9128,3
8629,8288,3
9786,9286,2
8773,8288,1
16651,16422,1
10674,10084,2
15991,15874,6
7084,6642,2
12575,12348,1
10748,9885,1
12110,11830,4
10687,10329,1
14752,14964,4
7448,7446,2
7085,6764,2
17354,17202,2
7729,7586,3
13391,13145,1
8044,8049,1
8044,7917,1
14777,14989,3
2645,3031,1
13630,13025,1
18150,18084,1
18363,18076,1
12042,12041,1
14372,14217,2
8118,7832,2
11142,11141,1
8769,8284,3
8609,8083,5
14242,14008,4
10175,10175,4
8083,7742,2
20180,20094,1
23069,23057,2
16643,16413,1
19841,19622,1
10660,12371,1
7418,7092,2
11039,11481,11
16658,16657,3
716,580,1
10669,10491,1
10949,10686,3
6715,7350,4
10200,9773,2
16647,16649,1
16198,16087,2
17203,16849,2
10652,10227,2
8637,8429,1
17370,17453,2
18591,18470,2
16724,16623,1
8749,8398,2
15442,15588,4
7751,7415,6
9862,9511,1
5650,5730,5
17691,17476,1
11525,11080,6
5895,5305,1
8281,7748,2
7448,7445,3
17222,17220,2
11497,12149,2
3056,3053,1
6517,6101,2
11916,11481,5
10946,10506,1
18717,18856,1
7077,7398,4
13633,13036,1
15931,15639,7
14821,14294,1
2861,2541,1
13589,13815,1
13237,13238,2
13577,13576,1
13619,13998,1
9832,9829,9
15384,15082,3
9126,9472,4
12755,13193,3
4790,4685,1
7610,7749,3
7275,7084,18
8631,8774,5
15646,15811,8
7376,7242,1
13473,13230,1
10254,10083,6
4733,4914,3
8054,8052,3
15298,15123,1
10651,10227,2
17678,17528,1
9825,10250,3
11615,11162,24
14740,14363,5
10599,11496,1
15149,15326,3
6406,6046,1
3355,3084,1
21291,21291,1
5257,5098,1
12604,12394,1
7779,7457,1
17354,17102,1
13169,14348,1
9772,9774,2
8461,8134,2
11853,12036,1
12734,12492,1
12427,13669,1
8069,9091,1
13227,13040,5
2069,1859,2
15072,14723,1
13226,13227,3
11965,11533,8
7760,7427,1
17190,17343,8
14746,14745,5
18229,18155,1
7097,6444,1
17761,17647,1
9426,9075,1
6962,6649,1
9475,8779,2
15090,14593,1
13624,14004,2
12266,12057,1
9008,9153,3
8076,7738,4
11173,11170,6
8624,8421,1
7410,7409,15
8634,8107,1
15874,15711,1
17180,17421,2
10600,10610,1
3709,4727,1
21942,21745,1
17020,17162,1
13591,13191,1
12998,12747,2
10040,11532,1
5035,4642,1
8625,8291,1
7455,7646,1
13227,13225,1
9091,9093,1
13106,13107,2
2091,1958,1
13869,14251,1
7084,8084,1
12030,11602,5
10018,9940,2
11531,11081,6
12784,12106,1
12603,12379,1
12579,12180,1
4153,4014,2
18143,18140,9
15095,15399,14
10672,10929,5
11362,11988,2
16657,16658,4
4425,4555,1
13502,13267,1
8366,8046,4
10656,10914,3
14226,14001,1
20091,19932,1
17602,17527,1
20362,20148,1
3056,2789,2
9781,9794,1
10494,10491,1
7801,7802,3
10662,10239,8
7374,7711,2
8987,9834,4
12941,12697,1
11394,11138,4
12109,12006,2
11039,10841,1
11593,11141,24
13163,13803,1
16455,16216,5
14011,13634,2
8107,7972,5
16922,16918,1
9781,9781,3
12166,11758,1
15536,15389,1
16230,15993,3
16655,16657,3
7752,7612,4
9639,9781,4
16074,15945,1
13038,12793,7
18385,18536,1
11182,10731,2
3095,2814,9
13235,13049,2
7084,7406,5
6045,5894,3
17597,17218,1
12009,12219,2
7586,7729,1
15536,15088,2
3834,3593,3
16357,16215,4
10517,10694,1
11048,10850,2
10911,10235,1
3933,4727,1
16930,16665,1
19841,19712,2
11481,10841,9
13597,13595,3
11482,12308,2
7577,7381,1
9824,9472,4
11120,10671,2
14003,13738,4
8436,8439,4
5043,5610,2
14590,14738,1
10088,9833,4
15396,15095,1
13549,13128,17
12634,13241,15
6303,6860,1
10485,10249,2
16214,15981,2
16216,16216,9
5318,5602,2
7272,7084,4
10711,11162,3
13026,13215,2
2745,2467,1
12794,12219,7
9999,10175,1
9782,9426,2
14736,14587,8
16226,16372,1
11585,11583,5
6606,7230,1
9008,9490,1
13133,12700,7
12253,11853,2
15416,15115,1
10171,9993,1
14735,14366,2
13219,13218,2
10942,10688,1
3053,2806,1
10254,10253,6
11905,11905,2
16372,16696,2
10036,9454,1
8715,8367,2
8081,7949,5
13466,13226,3
9620,9619,1
14231,14003,4
17424,17335,1
14733,14730,4
7416,7415,4
11504,11503,12
5027,5307,6
11635,10996,2
16085,16570,8
20752,20614,1
18358,18147,1
13219,13216,4
17528,17462,1
8684,8836,1
17443,17441,2
1117,990,1
5606,5210,1
5923,5625,3
20371,20730,2
8110,7762,1
19858,20389,1
9003,9146,2
17523,17215,1
9079,8726,2
16702,16606,1
9688,9475,2
17181,17422,3
19932,19931,1
9003,8874,1
9828,9684,1
4732,4914,3
7104,6783,5
7375,6918,3
14348,13958,1
14201,13816,3
10184,9759,1
13885,13662,4
10208,10627,1
14590,14363,2
8746,8395,2
13333,13064,1
13988,13608,1
16678,16444,1
9085,9095,1
13461,13858,1
4792,4687,1
3593,3370,17
10244,10072,2
6374,6373,2
15367,15367,1
12032,12030,21
7073,6753,6
15946,15946,1
13632,13466,4
21648,21519,1
10871,10611,1
10937,10679,5
6398,6306,1
7364,7363,2
5897,5785,2
13038,13471,1
7407,7406,9
8407,8759,1
4687,4790,14
15981,15694,1
6957,7407,2
13453,13016,1
7953,8085,1
15087,15086,11
22290,22250,1
16074,16656,3
5797,5324,1
12468,12929,1
10125,10721,1
14646,14437,1
10622,10622,3
15126,14775,4
16956,16590,1
5346,5060,1
16166,16058,2
16465,16601,1
16465,16600,1
11511,11937,3
10024,9773,2
8716,8366,4
1993,1913,1
16240,16002,1
9656,9797,2
12782,12399,1
10659,10068,2
15833,16083,2
8120,7776,2
16949,16951,1
14198,15072,1
8416,8283,3
11133,10954,6
3709,6142,1
12666,13899,1
17429,17765,2
15559,15110,2
8189,7906,1
4830,4487,1
10671,10929,5
14045,13671,1
14728,15643,1
8774,8777,2
12780,13215,2
6342,7102,1
6184,6346,2
11960,12346,6
2034,2606,1
13833,13606,2
13469,13227,21
15065,14715,5
8283,8096,2
9364,9200,1
529,1097,1
15457,16010,1
13078,12475,1
16424,16074,19
11634,12444,1
8621,8411,2
20180,20095,4
6301,6143,1
11097,11095,5
11237,11360,1
8774,8102,1
10687,10691,2
12109,12217,1
11578,10941,15
19762,20021,1
7640,7448,4
8268,7735,1
21287,21024,1
7088,6867,2
11578,10682,7
9782,9780,5
16226,16697,2
14617,14006,1
10590,10170,1
9274,9065,2
9135,9136,1
14406,14410,1
12613,12388,2
2647,2770,1
9657,10047,1
10011,10604,1
12142,11481,3
19619,19390,1
13835,13194,1
13626,14007,3
6607,6398,5
15948,15658,5
16182,15939,2
12403,13235,1
15372,15371,4
10185,10423,1
16448,16350,3
8052,7708,1
14407,14779,3
16265,16643,3
6244,6044,1
13129,13127,2
14588,14363,5
20060,19900,1
12390,12388,3
8836,9033,1
7380,7245,5
15381,15407,1
10252,10250,4
12110,11834,1
7283,7414,1
15655,15941,1
14363,14366,6
14758,14387,1
10619,10201,2
10871,10434,1
3371,3098,1
8427,8781,10
4776,4964,1
6913,6729,1
11580,11131,3
14779,14407,4
18880,18792,1
11973,12360,1
10868,10434,1
9129,8984,2
17336,18155,1
14370,14371,2
10042,10212,3
20150,20370,1
16700,16472,5
13588,12994,2
10708,9855,1
15643,15646,3
13581,13409,1
8366,8371,1
